period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3
2024-08-08T00:00:00-04:00,2024-08-08T01:00:00-04:00,2024-08-08T04:00:00+00:00,2024-08-08T05:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T01:00:00-04:00,2024-08-08T02:00:00-04:00,2024-08-08T05:00:00+00:00,2024-08-08T06:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T02:00:00-04:00,2024-08-08T03:00:00-04:00,2024-08-08T06:00:00+00:00,2024-08-08T07:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T03:00:00-04:00,2024-08-08T04:00:00-04:00,2024-08-08T07:00:00+00:00,2024-08-08T08:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T04:00:00-04:00,2024-08-08T05:00:00-04:00,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T05:00:00-04:00,2024-08-08T06:00:00-04:00,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T06:00:00-04:00,2024-08-08T07:00:00-04:00,2024-08-08T10:00:00+00:00,2024-08-08T11:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T07:00:00-04:00,2024-08-08T08:00:00-04:00,2024-08-08T11:00:00+00:00,2024-08-08T12:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T08:00:00-04:00,2024-08-08T09:00:00-04:00,2024-08-08T12:00:00+00:00,2024-08-08T13:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T09:00:00-04:00,2024-08-08T10:00:00-04:00,2024-08-08T13:00:00+00:00,2024-08-08T14:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T10:00:00-04:00,2024-08-08T11:00:00-04:00,2024-08-08T14:00:00+00:00,2024-08-08T15:00:00+00:00,MOD-00166,0,,,,,,,,,
2024-08-08T11:00:00-04:00,2024-08-08T12:00:00-04:00,2024-08-08T15:00:00+00:00,2024-08-08T16:00:00+00:00,MOD-00166,0,,,,,,,,,
